dataset,source,algorithm,metric,Normalization,Dimensionality_Reduction,final_width,time_prep_mean,time_prep_std,time_fit_mean,time_fit_std,total_time_mean,total_time_std,radius_mean,radius_std,silhouette_mean,silhouette_std,ari_mean,ari_std
ALL,ALL,ALL,ALL,,Sim,,0.23146760565196806,0.22917603906423603,0.0020488941449392337,0.002807138634334126,0.23351649979690733,0.23112697689770734,160378.1271022316,618947.6216614024,0.47951393785611135,0.22942770324428685,0.08276712422924935,0.13908029574572817
ALL,ALL,ALL,euclidean,ALL,ALL,0.015625,0.6139082205555799,1.057076163086012,0.0029096620740919283,0.0021726213956852715,0.616817882629672,1.0588659178156474,15560.702111516888,145295.99182360427,0.46038643273572594,0.20121417162256888,0.43020605606782353,0.378208889008501
ALL,ALL,ALL,euclidean,ALL,ALL,0.03125,0.6139082205555799,1.057076163086012,0.002613607296327735,0.0019953715841540096,0.6165218278519078,1.0587303909958776,15844.754227888117,147843.33360593414,0.46645584702402326,0.2016891686871563,0.42343865420195403,0.3753547350481478
ALL,ALL,ALL,euclidean,ALL,ALL,0.0625,0.6139082205555799,1.057076163086012,0.0023514682592980438,0.0018368041352617845,0.616259688814878,1.0585912437020697,15837.97104505085,147896.12774841322,0.48058099978051955,0.2049371445304445,0.41189344894824015,0.3761611491786785
ALL,ALL,ALL,euclidean,ALL,ALL,0.125,0.6139082205555799,1.057076163086012,0.002058217555570908,0.001661974831916606,0.6159664381111509,1.0584352621625415,19397.354991450422,181787.9431627011,0.5158596063897837,0.1915097574348047,0.3870275161231422,0.3732471868110967
ALL,ALL,ALL,euclidean,ALL,ALL,0.25,0.6139082205555799,1.057076163086012,0.0017485408518552886,0.0015639677851393976,0.6156567614074353,1.058342516802297,19276.074664235366,180642.16426510812,0.556398085327833,0.17730737319044182,0.30501027396588654,0.33426580279171025
ALL,ALL,ALL,euclidean,ALL,ALL,ALL,0.6144681180055241,1.1406584312802621,0.0024080037251096,0.013048648256864883,0.6168761217306338,1.1418397964720755,19748.844478643085,197186.62634375715,0.47086762440977503,0.20045224091036165,0.39100983139664247,0.3717983049968905
ALL,ALL,ALL,euclidean,ALL,ALL,,0.6147778338659727,1.184460358142807,0.0024476681786515407,0.016200289404324865,0.6172255020446243,1.1854786378347983,21167.97524911222,214358.25049782504,0.45965539287209106,0.20005309033577703,0.39073028461219866,0.37246819842466944
ALL,ALL,ALL,euclidean,ALL,Não,0.015625,0.5945011440000235,1.0102142935231206,0.0028571480444693413,0.001834537463344246,0.5973582920444929,1.011750221071804,9221.439185325691,111429.43368494196,0.4847459544978441,0.18909539539125114,0.5007442391077698,0.3723641561046804
ALL,ALL,ALL,euclidean,ALL,Não,0.03125,0.5945011440000235,1.0102142935231206,0.002567479466694397,0.0016723665073830154,0.597068623466718,1.0116329287785502,9479.724613760683,114460.89350790407,0.4906236076874363,0.19012125869444693,0.49089613431187384,0.3717643228858796
ALL,ALL,ALL,euclidean,ALL,Não,0.0625,0.5945011440000235,1.0102142935231206,0.0023191126667095182,0.0015596206795693804,0.5968202566667331,1.0115156258532196,9526.323247450597,115186.30301023556,0.5052088806103083,0.1917102723277908,0.48034163308779787,0.37203095275816467
ALL,ALL,ALL,euclidean,ALL,Não,0.125,0.5945011440000235,1.0102142935231206,0.0020312256444594335,0.0014134914681148384,0.596532369644483,1.0113870647080616,11597.015119008629,140676.47013194804,0.5352497449681226,0.17819821866472713,0.45254981585480214,0.37237369355514416
ALL,ALL,ALL,euclidean,ALL,Não,0.25,0.5945011440000235,1.0102142935231206,0.0017219778222351545,0.0012893097284520023,0.5962231218222587,1.0112796704014628,11759.257278672785,142582.19376169008,0.5627760245583726,0.1723271616654569,0.3589942321509377,0.3386627007881976
ALL,ALL,ALL,euclidean,ALL,Não,ALL,0.5981184843853726,1.1215523055349799,0.0024073256351934765,0.014232069921541093,0.6005258100205662,1.1225763274097038,11934.189208891816,153898.504027387,0.4902100220646071,0.1905909949261641,0.45371003264906085,0.37215700080777314
ALL,ALL,ALL,euclidean,ALL,Não,,0.6001177513632737,1.1786876390049397,0.0024669812576768447,0.017693341570141786,0.6025847326209507,1.1795852103887268,12828.130247975165,167493.87765762437,0.4782291678023756,0.191266415409037,0.4520546283084701,0.3737685535789019
ALL,ALL,ALL,euclidean,ALL,Sim,0.015625,0.7109436033333623,1.2624670296839473,0.0031722322222048627,0.0033813798769606555,0.7141158355555671,1.2652945456836768,47257.01674247288,251990.39403905996,0.35129572707667306,0.2172756331397323,0.07751514086809227,0.12542971455638194
ALL,ALL,ALL,euclidean,ALL,Sim,0.03125,0.7109436033333623,1.2624670296839473,0.0028442464444944277,0.0031401343941853204,0.7137878497778567,1.2650855177254523,47669.90229852529,254062.9851265416,0.3595684328172012,0.21636116599410435,0.08615125365235467,0.13349830771513113
